,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
176,AR2BP_MOUSE,ST-LT,-0.0491240596598951,0.483266498193252,-0.101650041630345,3.0,0.925447573551302,1.0,,0.574074074074074,0.12962962962963
177,ARAF_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.688888888888889,0.133333333333333
178,ARAP1_MOUSE,ST-LT,0.529132319939458,0.452079007403847,1.17044213793094,3.0,0.32634154079641,1.0,,0.648148148148148,0.203703703703704
179,ARC1A_MOUSE,ST-LT,1.03759920163055,0.329452938204378,3.14946106501825,1.0,0.195726726165976,0.886990938324766,,0.388888888888889,0.0555555555555556
180,ARFG1_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.916666666666667,0.0277777777777778
181,ARFG2_MOUSE,ST-LT,0.0651937899493129,0.476138843269962,0.136921805206195,6.0,0.895571537306737,1.0,,0.666666666666667,0.555555555555556
182,ARFG3_MOUSE,ST-LT,-inf,,,,,1.0,oneConditionMissing,0.777777777777778,0.0
183,ARGI1_MOUSE,ST-LT,-inf,,,,,1.0,oneConditionMissing,,
184,ARH37_MOUSE,ST-LT,-0.338640541102805,0.019975332241909,-16.9529366020919,2.0,0.0034613910418541,0.43687359246201984,,0.296296296296296,0.0740740740740741
185,ARH40_MOUSE,ST-LT,0.421316692507907,0.617768454449657,0.681997744419047,3.0,0.544175917926548,1.0,,0.625,0.291666666666667
186,ARHG1_MOUSE,ST-LT,0.0810352844264576,0.369131675080434,0.219529479307892,3.0,0.84032641411497,1.0,,0.5,0.0555555555555556
187,ARHG6_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,0.888888888888889,0.0
188,ARHGA_MOUSE,ST-LT,inf,,,,,1.0,oneConditionMissing,,
